seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	19922723	19922737	15	*	X00282	100532736	19923471	19984949	61479	+	733	upstream	733	MICOS10-NBL1
chr1	19922723	19922737	15	*	X00282	440574	19923471	19956315	32845	+	733	upstream	733	MICOS10
chr1	19991386	19991394	9	*	X00283	3362	19991780	20006055	14276	+	385	upstream	385	HTR6
chr1	20617332	20617340	9	*	X00284	127731	20617412	20681387	63976	+	71	upstream	71	VWA5B1
chr1	20617660	20617670	11	*	X00285	127731	20617412	20681387	63976	+	0	inside	247	VWA5B1
chr1	20617673	20617691	19	*	X00286	127731	20617412	20681387	63976	+	0	inside	260	VWA5B1
chr1	20812998	20813007	10	*	X00288	55450	20808884	20812728	3845	-	269	upstream	269	CAMK2N1
chr1	20987870	20987880	11	*	X00289	1650	20978260	20988037	9778	-	0	inside	156	DDOST
chr1	21044097	21044106	10	*	X00290	57576	20990507	21044317	53811	-	0	inside	210	KIF17
chr1	21672379	21672442	64	*	X00297	1889	21543740	21672034	128295	-	344	upstream	344	ECE1
chr1	21672560	21672573	14	*	X00298	1889	21543740	21672034	128295	-	525	upstream	525	ECE1
chr1	21672598	21672607	10	*	X00299	1889	21543740	21672034	128295	-	563	upstream	563	ECE1
chr1	21672632	21672643	12	*	X00300	1889	21543740	21672034	128295	-	597	upstream	597	ECE1
chr1	21672668	21672707	40	*	X00301	1889	21543740	21672034	128295	-	633	upstream	633	ECE1
chr1	21672970	21672981	12	*	X00302	1889	21543740	21672034	128295	-	935	upstream	935	ECE1
chr1	21673006	21673015	10	*	X00303	1889	21543740	21672034	128295	-	971	upstream	971	ECE1
chr1	21673080	21673091	12	*	X00304	1889	21543740	21672034	128295	-	1045	upstream	1045	ECE1
chr1	21673116	21673129	14	*	X00305	1889	21543740	21672034	128295	-	1081	upstream	1081	ECE1
chr1	22109964	22109973	10	*	X00313	84196	22004792	22109688	104897	-	275	upstream	275	USP48
chr1	22264240	22264250	11	*	X00315	3339	22148737	22263750	115014	-	489	upstream	489	HSPG2
chr1	22264267	22264278	12	*	X00316	3339	22148737	22263750	115014	-	516	upstream	516	HSPG2
chr1	22379034	22379044	11	*	X00317	998	22379120	22419436	40317	+	75	upstream	75	CDC42
chr1	22889673	22889682	10	*	X00319	2046	22890004	22930087	40084	+	321	upstream	321	EPHA8
chr1	22889827	22889840	14	*	X00320	2046	22890004	22930087	40084	+	163	upstream	163	EPHA8
chr1	22889980	22889989	10	*	X00321	2046	22890004	22930087	40084	+	14	upstream	14	EPHA8
chr1	22889998	22890007	10	*	X00322	2046	22890004	22930087	40084	+	0	overlapStart	0	EPHA8
chr1	23037361	23037370	10	*	X00323	2048	23037331	23241823	204493	+	0	inside	29	EPHB2
chr1	23345963	23345971	9	*	X00324	23028	23345941	23410184	64244	+	0	inside	21	KDM1A
chr1	23670777	23670785	9	*	X00327	10236	23636276	23670853	34578	-	0	inside	67	HNRNPR
chr1	23751241	23751249	9	*	X00329	6920	23707555	23751261	43707	-	0	inside	11	TCEA3
chr1	23751670	23751717	48	*	X00330	6920	23707555	23751261	43707	-	408	upstream	408	TCEA3
chr1	23751762	23751770	9	*	X00331	6920	23707555	23751261	43707	-	500	upstream	500	TCEA3
chr1	23811475	23811485	11	*	X00332	55616	23755056	23811057	56002	-	417	upstream	417	ASAP3
chr1	23885990	23886000	11	*	X00333	3399	23884421	23886285	1865	-	0	inside	284	ID3
chr1	24069764	24069772	9	*	X00335	6924	24069856	24088549	18694	+	83	upstream	83	ELOA
chr1	24286010	24286018	9	*	X00336	55629	24286301	24289949	3649	+	282	upstream	282	PNRC2
chr1	24514541	24514549	9	*	X00338	163702	24480647	24513765	33119	-	775	upstream	775	IFNLR1
chr1	24829310	24829319	10	*	X00340	100750325	24822823	24828850	6028	-	459	upstream	459	RCAN3AS
chr1	24969635	24969647	13	*	X00341	10250	24969594	24999772	30179	+	0	inside	40	SRRM1
chr1	25756806	25756816	11	*	X00342	55219	25757388	25826698	69311	+	571	upstream	571	MACO1
chr1	25756806	25756816	11	*	X00342	6006	25688740	25756683	67944	-	122	upstream	122	RHCE
chr1	25870283	25870293	11	*	X00344	26119	25870076	25895377	25302	+	0	inside	206	LDLRAP1
chr1	25942211	25942219	9	*	X00345	57134	25943959	26111258	167300	+	1739	upstream	1739	MAN1C1
chr1	25943339	25943351	13	*	X00346	57134	25943959	26111258	167300	+	607	upstream	607	MAN1C1
chr1	25943743	25943753	11	*	X00347	57134	25943959	26111258	167300	+	205	upstream	205	MAN1C1
chr1	26145879	26145921	43	*	X00348	56181	26146397	26159433	13037	+	475	upstream	475	MTFR1L
chr1	26496199	26496207	9	*	X00355	51042	26496388	26497364	977	+	180	upstream	180	ZNF593
chr1	26496418	26496427	10	*	X00356	51042	26496388	26497364	977	+	0	inside	29	ZNF593
chr1	26735771	26735795	25	*	X00359	79727	26737269	26756219	18951	+	1473	upstream	1473	LIN28A
chr1	26735798	26735807	10	*	X00360	79727	26737269	26756219	18951	+	1461	upstream	1461	LIN28A
chr1	26736870	26736909	40	*	X00361	79727	26737269	26756219	18951	+	359	upstream	359	LIN28A
chr1	26737049	26737057	9	*	X00362	79727	26737269	26756219	18951	+	211	upstream	211	LIN28A
chr1	27248207	27248220	14	*	X00370	10726	27248213	27273362	25150	+	0	overlapStart	0	NUDC
chr1	27561185	27561194	10	*	X00376	23038	27561007	27635124	74118	+	0	inside	177	WDTC1
chr1	27649047	27649055	9	*	X00378	644961	27650365	27653016	2652	+	1309	upstream	1309	ACTG1P20
chr1	27930182	27930191	10	*	X00397	27245	27860756	27930361	69606	-	0	inside	169	AHDC1
chr1	27930706	27930715	10	*	X00398	27245	27860756	27930361	69606	-	344	upstream	344	AHDC1
chr1	27931321	27931329	9	*	X00399	27245	27860756	27930361	69606	-	959	upstream	959	AHDC1
chr1	28099661	28099671	11	*	X00400	23673	28099694	28150963	51270	+	22	upstream	22	STX12
chr1	28099691	28099700	10	*	X00401	23673	28099694	28150963	51270	+	0	overlapStart	0	STX12
chr1	28286096	28286104	9	*	X00402	55113	28286504	28294604	8101	+	399	upstream	399	XKR8
chr1	28832479	28832489	11	*	X00403	1104	28832455	28865708	33254	+	0	inside	23	RCC1
chr1	28832479	28832489	11	*	X00403	8420	28832455	28837404	4950	+	0	inside	23	SNHG3
chr1	28878806	28878821	16	*	X00405	54952	28879529	28905057	25529	+	707	upstream	707	TRNAU1AP
chr1	28878911	28878926	16	*	X00406	54952	28879529	28905057	25529	+	602	upstream	602	TRNAU1AP
chr1	28879250	28879260	11	*	X00407	54952	28879529	28905057	25529	+	268	upstream	268	TRNAU1AP
chr1	28879290	28879300	11	*	X00408	54952	28879529	28905057	25529	+	228	upstream	228	TRNAU1AP
chr1	28908528	28908536	9	*	X00409	677825	28906893	28907024	132	-	1503	upstream	1503	SNORA44
chr1	28908528	28908536	9	*	X00409	692073	28907432	28907565	134	-	962	upstream	962	SNORA16A
chr1	28908528	28908536	9	*	X00409	85028	28905050	28908383	3334	-	144	upstream	144	SNHG12
chr1	29063409	29063417	9	*	X00410	51441	29063133	29096287	33155	+	0	inside	275	YTHDF2
chr1	31190480	31190488	9	*	X00427	100129196	31191619	31199593	7975	+	1130	upstream	1130	MATN1-AS1
chr1	31381997	31382006	10	*	X00430	9672	31342313	31381480	39168	-	516	upstream	516	SDC3
chr1	32230632	32230641	10	*	X00440	576	32192718	32229648	36931	-	983	upstream	983	ADGRB2
chr1	32403956	32403964	9	*	X00450	8073	32372022	32403988	31967	-	0	inside	23	PTP4A2
chr1	32479437	32479448	12	*	X00451	10657	32479295	32526460	47166	+	0	inside	141	KHDRBS1
chr1	32645549	32645557	9	*	X00452	200081	32645345	32663886	18542	+	0	inside	203	TXLNA
chr1	32670576	32670590	15	*	X00453	55721	32671236	32674288	3053	+	645	upstream	645	IQCC
chr1	32860746	32860754	9	*	X00456	55108	32830705	32860062	29358	-	683	upstream	683	BSDC1
chr1	33115236	33115269	34	*	X00458	5928	33116749	33151812	35064	+	1479	upstream	1479	RBBP4
chr1	33116825	33116833	9	*	X00459	339487	33065773	33116185	50413	-	639	upstream	639	ZBTB8OS
chr1	33116825	33116833	9	*	X00459	5928	33116749	33151812	35064	+	0	inside	75	RBBP4
chr1	33502495	33502505	11	*	X00467	204	33473541	33502512	28972	-	0	inside	6	AK2
chr1	33648203	33648236	34	*	X00468	55223	33611003	33647671	36669	-	531	upstream	531	TRIM62
chr1	33896555	33896565	11	*	X00478	1912	33789224	33896615	107392	-	0	inside	49	PHC2
chr1	34631185	34631199	15	*	X00480	114784	33979609	34631443	651835	-	0	inside	243	CSMD2
chr1	34631185	34631199	15	*	X00480	84970	34632624	34684731	52108	+	1424	upstream	1424	C1orf94
chr1	34631202	34631219	18	*	X00481	114784	33979609	34631443	651835	-	0	inside	223	CSMD2
chr1	34631202	34631219	18	*	X00481	84970	34632624	34684731	52108	+	1404	upstream	1404	C1orf94
chr1	34631230	34631238	9	*	X00482	114784	33979609	34631443	651835	-	0	inside	204	CSMD2
chr1	34631230	34631238	9	*	X00482	84970	34632624	34684731	52108	+	1385	upstream	1385	C1orf94
chr1	34631241	34631249	9	*	X00483	114784	33979609	34631443	651835	-	0	inside	193	CSMD2
chr1	34631241	34631249	9	*	X00483	84970	34632624	34684731	52108	+	1374	upstream	1374	C1orf94
chr1	34631258	34631266	9	*	X00484	114784	33979609	34631443	651835	-	0	inside	176	CSMD2
chr1	34631258	34631266	9	*	X00484	84970	34632624	34684731	52108	+	1357	upstream	1357	C1orf94
chr1	34631450	34631460	11	*	X00485	114784	33979609	34631443	651835	-	6	upstream	6	CSMD2
chr1	34631450	34631460	11	*	X00485	84970	34632624	34684731	52108	+	1163	upstream	1163	C1orf94
chr1	34631604	34631614	11	*	X00486	114784	33979609	34631443	651835	-	160	upstream	160	CSMD2
chr1	34631604	34631614	11	*	X00486	84970	34632624	34684731	52108	+	1009	upstream	1009	C1orf94
chr1	36038447	36038455	9	*	X00494	339488	36038971	36060927	21957	+	515	upstream	515	TFAP2E
chr1	36038463	36038471	9	*	X00495	339488	36038971	36060927	21957	+	499	upstream	499	TFAP2E
chr1	36273740	36273748	9	*	X00498	192670	36273828	36323490	49663	+	79	upstream	79	AGO4
chr1	36789972	36789980	9	*	X00509	55194	36787632	36789755	2124	-	216	upstream	216	EVA1B
chr1	36852459	36852467	9	*	X00510	83931	36805225	36851485	46261	-	973	upstream	973	STK40
chr1	37500136	37500149	14	*	X00512	2899	37261128	37499844	238717	-	291	upstream	291	GRIK3
chr1	37500233	37500244	12	*	X00513	2899	37261128	37499844	238717	-	388	upstream	388	GRIK3
chr1	37980429	37980437	9	*	X00517	64769	37955561	37980420	24860	-	8	upstream	8	MEAF6
chr1	38061531	38061541	11	*	X00518	29889	38032413	38061586	29174	-	0	inside	44	GNL2
chr1	38231344	38231390	47	*	X00520	284656	38179553	38230824	51272	-	519	upstream	519	EPHA10
chr1	38232245	38232254	10	*	X00521	284656	38179553	38230824	51272	-	1420	upstream	1420	EPHA10
chr1	38232277	38232286	10	*	X00522	284656	38179553	38230824	51272	-	1452	upstream	1452	EPHA10
chr1	38478110	38478119	10	*	X00529	51118	38478384	38490497	12114	+	264	upstream	264	UTP11
chr1	39338879	39338887	9	*	X00535	26292	39328162	39339050	10889	-	0	inside	162	MYCBP
chr1	39546283	39546291	9	*	X00538	23499	39547089	39952810	405722	+	797	upstream	797	MACF1
chr1	40042757	40042767	11	*	X00544	8761	40026485	40042521	16037	-	235	upstream	235	PABPC4
chr1	40137835	40137843	9	*	X00545	84618	40124793	40137710	12918	-	124	upstream	124	NT5C1A
chr1	40254854	40254862	9	*	X00549	656	40223903	40254533	30631	-	320	upstream	320	BMP8B
chr1	40367548	40367559	12	*	X00550	4610	40361096	40367687	6592	-	0	inside	127	MYCL
chr1	40367607	40367616	10	*	X00551	4610	40361096	40367687	6592	-	0	inside	70	MYCL
chr1	40504725	40504735	11	*	X00552	10487	40506255	40538321	32067	+	1519	upstream	1519	CAP1
chr1	40782907	40782916	10	*	X00554	1298	40766163	40783060	16898	-	0	inside	143	COL9A2
chr1	40915153	40915163	11	*	X00556	65243	40915774	40929390	13617	+	610	upstream	610	ZFP69B
chr1	40942405	40942427	23	*	X00557	339559	40943302	40962015	18714	+	874	upstream	874	ZFP69
chr1	40997307	40997316	10	*	X00559	127396	40997233	41013841	16609	+	0	inside	73	ZNF684
chr1	41157035	41157045	11	*	X00565	4802	41157242	41237276	80035	+	196	upstream	196	NFYC
chr1	41157073	41157085	13	*	X00566	4802	41157242	41237276	80035	+	156	upstream	156	NFYC
chr1	41249076	41249084	9	*	X00568	9132	41249684	41306124	56441	+	599	upstream	599	KCNQ4
chr1	42501798	42501806	9	*	X00575	59269	41972036	42501596	529561	-	201	upstream	201	HIVEP3
chr1	43231694	43231704	11	*	X00581	79078	43232916	43241413	8498	+	1211	upstream	1211	C1orf50
chr1	43283057	43283067	11	*	X00582	114625	43282776	43310660	27885	+	0	inside	280	ERMAP
chr1	43283057	43283067	11	*	X00582	374969	43272723	43283059	10337	-	0	overlapStart	0	SVBP
chr1	43423473	43423481	9	*	X00584	440584	43424720	43449029	24310	+	1238	upstream	1238	SLC2A1-AS1
chr1	43424799	43424807	9	*	X00585	440584	43424720	43449029	24310	+	0	inside	78	SLC2A1-AS1
chr1	43424799	43424807	9	*	X00585	6513	43391046	43424847	33802	-	0	inside	39	SLC2A1
chr1	43637796	43637805	10	*	X00587	149465	43638001	43720029	82029	+	195	upstream	195	CFAP57
chr1	43920150	43920167	18	*	X00593	81888	43916674	43919660	2987	-	489	upstream	489	HYI
chr1	44444854	44444863	10	*	X00601	8704	44444874	44456843	11970	+	10	upstream	10	B4GALT2
chr1	44496840	44496877	38	*	X00606	6536	44457172	44497164	39993	-	0	inside	286	SLC6A9
chr1	44498530	44498543	14	*	X00607	6536	44457172	44497164	39993	-	1365	upstream	1365	SLC6A9
chr1	44870863	44870898	36	*	X00608	55182	44870960	45117396	246437	+	61	upstream	61	RNF220
chr1	44871229	44871239	11	*	X00609	55182	44870960	45117396	246437	+	0	inside	268	RNF220
chr1	45009302	45009310	9	*	X00618	100847089	45011165	45011224	60	+	1854	upstream	1854	MIR5584
chr1	45308381	45308392	12	*	X00620	8643	45285516	45308616	23101	-	0	inside	223	PTCH2
chr1	45452441	45452449	9	*	X00622	8891	45316194	45452394	136201	-	46	upstream	46	EIF2B3
chr1	45476614	45476623	10	*	X00623	7389	45477805	45481341	3537	+	1181	upstream	1181	UROD
chr1	45792145	45792177	33	*	X00626	84842	45792545	45794346	1802	+	367	upstream	367	HPDL
chr1	46152743	46152752	10	*	X00634	51249	46153847	46160108	6262	+	1094	upstream	1094	TMEM69
chr1	46152743	46152752	10	*	X00634	60313	46092976	46152302	59327	-	440	upstream	440	GPBP1L1
chr1	46216308	46216316	9	*	X00635	3652	46159998	46216485	56488	-	0	inside	168	IPP
chr1	46216468	46216478	11	*	X00636	3652	46159998	46216485	56488	-	0	inside	6	IPP
chr1	46269195	46269204	10	*	X00637	23139	46269285	46501796	232512	+	80	upstream	80	MAST2
chr1	46269245	46269256	12	*	X00638	23139	46269285	46501796	232512	+	28	upstream	28	MAST2
chr1	46668594	46668630	37	*	X00639	541468	46669006	46686928	17923	+	375	upstream	375	LURAP1
chr1	46668903	46668911	9	*	X00640	541468	46669006	46686928	17923	+	94	upstream	94	LURAP1
chr1	46858878	46858890	13	*	X00641	2166	46859939	46879520	19582	+	1048	upstream	1048	FAAH
chr1	46859968	46859976	9	*	X00642	2166	46859939	46879520	19582	+	0	inside	28	FAAH
chr1	47184629	47184637	9	*	X00652	9813	47124359	47184736	60378	-	0	inside	98	EFCAB14
chr1	48463299	48463307	9	*	X00664	388630	48226200	48462562	236363	-	736	upstream	736	TRABD2B
chr1	49242438	49242448	11	*	X00665	79656	49193540	49242547	49008	-	0	inside	98	BEND5
chr1	51433856	51433864	9	*	X00672	1031	51433608	51440309	6702	+	0	inside	247	CDKN2C
chr1	53308093	53308132	40	*	X00686	440590	53308183	53360247	52065	+	50	upstream	50	ZYG11A
chr1	53308380	53308389	10	*	X00687	440590	53308183	53360247	52065	+	0	inside	196	ZYG11A
chr1	53392933	53392943	11	*	X00689	55268	53361582	53392851	31270	-	81	upstream	81	ECHDC2
chr1	53392933	53392943	11	*	X00689	6342	53392901	53517289	124389	+	0	inside	31	SCP2
chr1	53793821	53793829	9	*	X00694	7804	53708041	53793821	85781	-	0	overlapStart	0	LRP8
chr1	53794137	53794146	10	*	X00695	7804	53708041	53793821	85781	-	315	upstream	315	LRP8
chr1	54411890	54411901	12	*	X00701	115353	54411999	54433841	21843	+	97	upstream	97	LRRC42
chr1	54411890	54411901	12	*	X00701	51668	54387234	54411288	24055	-	601	upstream	601	HSPB11
chr1	54412000	54412011	12	*	X00702	115353	54411999	54433841	21843	+	0	inside	0	LRRC42
chr1	54412000	54412011	12	*	X00702	51668	54387234	54411288	24055	-	711	upstream	711	HSPB11
chr1	55352633	55352641	9	*	X00712	1718	55315300	55352921	37622	-	0	inside	279	DHCR24
chr1	55352760	55352769	10	*	X00713	1718	55315300	55352921	37622	-	0	inside	151	DHCR24
chr1	57109746	57109754	9	*	X00718	5563	57110990	57181008	70019	+	1235	upstream	1235	PRKAA2
chr1	59043712	59043723	12	*	X00722	4070	59041095	59043166	2072	-	545	upstream	545	TACSTD2
chr1	59043726	59043729	4	*	X00723	4070	59041095	59043166	2072	-	559	upstream	559	TACSTD2
chr1	59248874	59248882	9	*	X00725	100131060	59250823	59365384	114562	+	1940	upstream	1940	LINC01135
chr1	59250745	59250755	11	*	X00726	100131060	59250823	59365384	114562	+	67	upstream	67	LINC01135
chr1	59250745	59250755	11	*	X00726	3725	59246463	59249785	3323	-	959	upstream	959	JUN
chr1	59250779	59250803	25	*	X00727	100131060	59250823	59365384	114562	+	19	upstream	19	LINC01135
chr1	59250779	59250803	25	*	X00727	3725	59246463	59249785	3323	-	993	upstream	993	JUN
chr1	59762081	59762089	9	*	X00728	55277	59762625	60228402	465778	+	535	upstream	535	FGGY
chr1	59762645	59762653	9	*	X00729	55277	59762625	60228402	465778	+	0	inside	19	FGGY
chr1	60280204	60280215	12	*	X00731	51361	60280463	60342050	61588	+	247	upstream	247	HOOK1
chr1	62784935	62784943	9	*	X00743	163782	62701837	62785083	83247	-	0	inside	139	KANK4
chr1	63249841	63249851	11	*	X00745	84938	63249777	63330941	81165	+	0	inside	63	ATG4C
chr1	63987589	63987597	9	*	X00749	84455	63989013	64038364	49352	+	1415	upstream	1415	EFCAB7
chr1	64935068	64935077	10	*	X00753	57685	64936476	65158741	222266	+	1398	upstream	1398	CACHD1
chr1	66257599	66257617	19	*	X00770	5142	66258193	66840262	582070	+	575	upstream	575	PDE4B
chr1	68297408	68297416	9	*	X00782	100289178	68297971	68668670	370700	+	554	upstream	554	GNG12-AS1
chr1	70032657	70032665	9	*	X00786	57554	70032868	70589171	556304	+	202	upstream	202	LRRC7
chr1	70032703	70032745	43	*	X00787	57554	70032868	70589171	556304	+	122	upstream	122	LRRC7
chr1	70670417	70670444	28	*	X00790	9295	70671365	70717701	46337	+	920	upstream	920	SRSF11
chr1	70819687	70819695	9	*	X00791	11147	70820493	70833705	13213	+	797	upstream	797	HHLA3
chr1	71545965	71545973	9	*	X00792	100852410	71547007	71703406	156400	+	1033	upstream	1033	ZRANB2-AS2
chr1	72749336	72749344	9	*	X00794	257194	71868625	72748405	879781	-	930	upstream	930	NEGR1
chr1	72749375	72749384	10	*	X00795	257194	71868625	72748405	879781	-	969	upstream	969	NEGR1
